timestamp, index, clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], utilization.memory [%], clocks_event_reasons.active
2026/08/11 16:17:19.422, 0, 1620, 2100, 87, 253.20, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:17:19.424, 1, 1680, 2100, 87, 264.61, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:17:19.425, 2, 1815, 2100, 83, 287.07, 300.00, 82, 55, 0x0000000000000004
2026/08/11 16:17:24.431, 0, 1620, 2100, 87, 255.83, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:17:24.436, 1, 1725, 2100, 87, 267.81, 300.00, 83, 54, 0x0000000000000020
2026/08/11 16:17:24.437, 2, 1845, 2100, 84, 285.27, 300.00, 80, 53, 0x0000000000000004
2026/08/11 16:17:29.439, 0, 1710, 2100, 88, 260.72, 300.00, 84, 54, 0x0000000000000024
2026/08/11 16:17:29.440, 1, 1635, 2100, 87, 261.66, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:17:29.442, 2, 1815, 2100, 84, 279.11, 300.00, 82, 54, 0x0000000000000004
2026/08/11 16:17:34.448, 0, 1605, 2100, 88, 255.16, 300.00, 84, 54, 0x0000000000000020
2026/08/11 16:17:34.452, 1, 1635, 2100, 87, 263.14, 300.00, 82, 53, 0x0000000000000020
2026/08/11 16:17:34.454, 2, 1860, 2100, 83, 281.14, 300.00, 83, 55, 0x0000000000000024
2026/08/11 16:17:39.456, 0, 1650, 2100, 88, 241.64, 300.00, 50, 32, 0x0000000000000020
2026/08/11 16:17:39.457, 1, 1620, 2100, 88, 263.81, 300.00, 83, 54, 0x0000000000000020
2026/08/11 16:17:39.462, 2, 1800, 2100, 84, 286.29, 300.00, 85, 56, 0x0000000000000020
2026/08/11 16:17:44.465, 0, 1575, 2100, 88, 254.41, 300.00, 89, 56, 0x0000000000000020
2026/08/11 16:17:44.469, 1, 1620, 2100, 87, 262.26, 300.00, 88, 55, 0x0000000000000020
2026/08/11 16:17:44.471, 2, 1770, 2100, 84, 286.19, 300.00, 92, 63, 0x0000000000000004
2026/08/11 16:17:49.473, 0, 1560, 2100, 88, 262.78, 300.00, 92, 61, 0x0000000000000020
2026/08/11 16:17:49.474, 1, 1575, 2100, 88, 272.32, 300.00, 92, 61, 0x0000000000000020
2026/08/11 16:17:49.477, 2, 1755, 2100, 84, 286.93, 300.00, 93, 64, 0x0000000000000004
2026/08/11 16:17:54.481, 0, 1545, 2100, 88, 262.21, 300.00, 90, 60, 0x0000000000000020
2026/08/11 16:17:54.486, 1, 1590, 2100, 88, 269.89, 300.00, 92, 61, 0x0000000000000020
2026/08/11 16:17:54.488, 2, 1740, 2100, 84, 287.76, 300.00, 92, 63, 0x0000000000000004
2026/08/11 16:17:59.490, 0, 1545, 2100, 88, 261.72, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:17:59.491, 1, 1560, 2100, 88, 268.48, 300.00, 90, 59, 0x0000000000000020
2026/08/11 16:17:59.494, 2, 1710, 2100, 84, 286.44, 300.00, 90, 61, 0x0000000000000004
2026/08/11 16:18:04.498, 0, 1560, 2100, 88, 260.89, 300.00, 94, 61, 0x0000000000000020
2026/08/11 16:18:04.503, 1, 1575, 2100, 88, 266.46, 300.00, 92, 61, 0x0000000000000020
2026/08/11 16:18:04.505, 2, 1695, 2100, 85, 287.59, 300.00, 92, 63, 0x0000000000000004
2026/08/11 16:18:09.506, 0, 1560, 2100, 88, 257.93, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:18:09.508, 1, 1575, 2100, 88, 266.99, 300.00, 92, 61, 0x0000000000000020
2026/08/11 16:18:09.511, 2, 1755, 2100, 84, 287.52, 300.00, 92, 63, 0x0000000000000004
2026/08/11 16:18:14.515, 0, 1545, 2100, 88, 256.96, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:18:14.520, 1, 1575, 2100, 88, 264.18, 300.00, 87, 57, 0x0000000000000020
2026/08/11 16:18:14.522, 2, 1755, 2100, 85, 288.66, 300.00, 92, 63, 0x0000000000000004
2026/08/11 16:18:19.524, 0, 1545, 2100, 88, 260.27, 300.00, 93, 60, 0x0000000000000020
2026/08/11 16:18:19.526, 1, 1575, 2100, 88, 266.60, 300.00, 91, 60, 0x0000000000000020
2026/08/11 16:18:19.527, 2, 1740, 2100, 85, 287.66, 300.00, 93, 64, 0x0000000000000004
2026/08/11 16:18:24.530, 0, 1515, 2100, 88, 257.31, 300.00, 93, 61, 0x0000000000000020
2026/08/11 16:18:24.533, 1, 1620, 2100, 88, 268.05, 300.00, 93, 61, 0x0000000000000020
2026/08/11 16:18:24.534, 2, 1770, 2100, 85, 288.37, 300.00, 92, 63, 0x0000000000000004
2026/08/11 16:18:29.536, 0, 1530, 2100, 88, 257.95, 300.00, 92, 59, 0x0000000000000020
2026/08/11 16:18:29.539, 1, 1545, 2100, 88, 267.68, 300.00, 92, 60, 0x0000000000000020
2026/08/11 16:18:29.541, 2, 1755, 2100, 85, 288.52, 300.00, 92, 63, 0x0000000000000004
2026/08/11 16:18:34.549, 0, 1515, 2100, 88, 257.04, 300.00, 93, 61, 0x0000000000000020
2026/08/11 16:18:34.552, 1, 1530, 2100, 88, 267.86, 300.00, 92, 60, 0x0000000000000020
