cell,seed,run,w_vic,feat,probe,spearman,pearson,ap,mae
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca16,knn,0.8713238342552565,0.8679461233770185,0.2191983824831802,0.31499626439082806
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca16,ridge,0.8772143194356792,0.8739463085979611,0.2450497930261653,0.30808902866805365
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca2,knn,0.8633045329945266,0.8610277884379873,0.21469855856652142,0.3241682156370554
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca2,ridge,0.8717523123577684,0.8617392242196079,0.0676794998176839,0.325703534718082
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca32,knn,0.8714429951262872,0.8680520705390161,0.22022733975546566,0.3148796759295326
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca32,ridge,0.8772659224190418,0.8740180363386996,0.2396986975516932,0.3078888759790208
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca4,knn,0.86982799135192,0.8661869856550657,0.21395470764590188,0.31707431066157554
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca4,ridge,0.876062487973897,0.8719249235226798,0.23267133153837577,0.3094526635879299
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca8,knn,0.871213059074762,0.8677252198655107,0.22099215264382868,0.31529152999784194
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca8,ridge,0.8773989175811703,0.8736120998848632,0.24960444426315892,0.30837221784509017
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pred1,knn,0.8340500732536247,0.8265765333086774,0.12213661149858601,0.36320187796976533
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pred1,ridge,0.8772367099722012,0.8701354769016698,0.2514596505447815,0.3109029600763032
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,emb32,knn,0.8677690714701713,0.8640925000745108,0.15492249438486314,0.318732983665428
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,emb32,ridge,0.8773349586265364,0.8734570425587505,0.23636654819816283,0.3070659459678283
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca1,knn,0.8110509379105534,0.7980285626767507,0.07372339610190946,0.3927439203381976
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca1,ridge,0.8616955120658136,0.8501596546720283,0.22222325078976654,0.33998505397223205
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca16,knn,0.8676124104877478,0.8637546473224844,0.15633864173956064,0.31936085238469836
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca16,ridge,0.8757198595837405,0.8713103605791193,0.23151947942817647,0.3097397398612096
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca2,knn,0.8522183596693281,0.8509481891171217,0.15135292823521124,0.3373779178863632
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca2,ridge,0.864664297852124,0.8543961342075505,0.22578591718146643,0.33636390533780874
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca32,knn,0.8677661125189217,0.8640912858511711,0.15493465922337168,0.3187389303593514
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca32,ridge,0.8773349586265364,0.8734570425587507,0.23636654819816283,0.3070659459678285
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca4,knn,0.861943454725836,0.8588458041827034,0.15513602343295108,0.3261357567578519
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca4,ridge,0.8637446344342856,0.8593657202977961,0.22572900499941512,0.3280770376472145
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca8,knn,0.8669645347387254,0.8637822521749341,0.1872042410453173,0.3199551306522913
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pca8,ridge,0.8737266310534156,0.8694222758799777,0.23206465486989564,0.3117841320351876
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pred1,knn,0.8345601658854589,0.8233798700550685,0.09458481707791128,0.36463686153079977
C_w1,0,outputs/rank_v1/C_w1/fold0_seed0,1.0,pred1,ridge,0.8775835415346017,0.8697596080343668,0.23751923621519377,0.3099268163314698
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,emb32,knn,0.8695173222187039,0.8676295029375012,0.2522146715528294,0.3157664706857529
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,emb32,ridge,0.878050433276266,0.8747456498705568,0.27817269504579323,0.30684077439263147
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca1,knn,0.7765494349724646,0.766127355779644,0.024855198962537874,0.4174848536855677
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca1,ridge,0.8184674899343343,0.7989611392318292,0.10591418301027053,0.393638752310645
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca16,knn,0.869329034864819,0.867435355239033,0.24949712070544203,0.3161033772635097
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca16,ridge,0.8769653583456122,0.8738359569614857,0.2758435668551157,0.30777017694382025
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca2,knn,0.8471283624760189,0.8496700753579229,0.21644706519503565,0.3369986351321054
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca2,ridge,0.8472545497970645,0.8422496630922677,0.20235333232469957,0.3440766746832359
C_w1,1,outputs/rank_v1/C_w1/fold0_seed1,1.0,pca32,knn,0.869516164107602,0.8676281645702435,0.24996959219399245,0.3157679165684219
