sweep_id,config,bootstrap,embedding,embedding_label,n_rows,input_dim,pprop_edge,n_positive,positive_rate,n_components,pca_explained_variance,pearson,spearman,r2,average_precision,auc,pearson_oob,spearman_oob,r2_oob,average_precision_oob,auc_oob
lyc0lh2d,cfg0,boot02,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7666773200035095,0.9786956583944362,0.981156943294648,0.9303047413902624,1.0,1.0,0.7066277798744406,0.7232106540515439,0.4929927365268919,0.0497658277423591,0.6799752167950073
lyc0lh2d,cfg0,boot02,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7641345262527466,0.9781180732299216,0.9808099840288036,0.9320877534031028,0.9999999999999999,1.0,0.7141902972297084,0.728586250602978,0.5059009145268174,0.03969245378137781,0.6625443839362894
lyc0lh2d,cfg0,boot02,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.584801435470581,0.9837870511158114,0.9885429799742694,0.9631050351775361,1.0,1.0,0.8556611229109713,0.856864843242836,0.7320538827161216,0.2353468216892149,0.8177620502003571
lyc0lh2d,cfg0,boot03,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7654018998146057,0.9788372225458999,0.981049339648705,0.9244873175926284,0.9999999999999999,1.0,0.6767139532744202,0.6919966933834234,0.44993925946485347,0.046362701997040026,0.6856448054724971
lyc0lh2d,cfg0,boot03,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7555649280548096,0.9783263325947206,0.9804984641160369,0.9262766826994874,0.9999999999999999,1.0,0.6856231696950259,0.7017179344132718,0.4637785585714389,0.042928174000881024,0.6696492011738325
lyc0lh2d,cfg0,boot03,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.7636868357658386,0.9781019269453798,0.980339180046189,0.928093572123424,1.0,1.0,0.6940484509285134,0.709339276497018,0.4765471745916052,0.04660008794974395,0.6881236944916982
lyc0lh2d,cfg0,boot03,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7638884782791138,0.9782514517702344,0.9803153749645218,0.9305220622077011,0.9999999999999998,1.0,0.7068161175397782,0.7227887279160317,0.4945660752468466,0.04708794781177575,0.6791184572624264
lyc0lh2d,cfg0,boot03,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7594679594039917,0.9785878994836599,0.9807591780448325,0.9319951135061337,1.0,1.0,0.714657678607104,0.7296508292801847,0.5052989479316705,0.058888958711721964,0.6973730518095292
lyc0lh2d,cfg0,boot03,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.57596755027771,0.9839026166947469,0.9885332156910511,0.9632229732250078,0.9999999999999999,1.0,0.8559873103181662,0.8570969759936846,0.7325613582382065,0.22514096209124726,0.8226291137776328
lyc0lh2d,cfg0,boot04,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7641568183898926,0.9779840731993145,0.98024577847047,0.9256108523788867,1.0,1.0,0.6808343565600969,0.6947365841626402,0.45820971727950777,0.03639587152373581,0.6627573183379254
