sweep_id,config,bootstrap,embedding,embedding_label,fold,input_dim,n_rows,tanimoto_spearman,pred_tanimoto_spearman,scalarness,tanimoto_partial,knn20_jaccard,n_readout,emb_effective_rank,emb_top1_share,emb_min_std,emb_dim
lyc0lh2d,cfg0,boot09,vn12,VN 12,0,336,66296,0.4626766688791214,0.07510969806213445,0.14137302386720157,0.4566445401787679,0.11605924826011678,5000,63.31569124146087,0.09494150543533304,0.24936530554397549,336
lyc0lh2d,cfg0,boot09,vn15,VN 15,0,336,66296,0.4633602212379701,0.07510969806213445,0.1471284675914861,0.4572859100253921,0.11744753273299662,5000,64.73178759388622,0.0961925806729406,0.2594452742414415,336
lyc0lh2d,cfg0,boot09,pooled512,Pooled embedding,0,512,66296,0.19869955894274854,0.07510969806213445,0.3310841786349306,0.184221811238542,0.15416376613879007,5000,130.96092934484122,0.12825949096072445,0.21020704040423438,512
lyc0lh2d,cfg0,boot09,z,Head export (z),0,1024,66296,0.1540353721721815,0.07510969806213445,0.8029106167539097,0.15723718561273112,0.12026323737745652,5000,37.4087821069795,0.34100711706426656,0.002009257919645595,1024
lyc0lh2d,cfg1,boot00,vn03,VN 3,0,336,66296,0.4329129917015881,0.07246193889577587,0.09117689828895753,0.4280892519804755,0.10420893256635026,5000,60.3382634199626,0.09388072115187966,0.07923580063371856,336
lyc0lh2d,cfg1,boot00,vn06,VN 6,0,336,66296,0.4432572245547014,0.07246193889577587,0.13210585766559257,0.43751916483194553,0.11587546090189653,5000,63.420911220890645,0.0964056266501496,0.16108231285406094,336
lyc0lh2d,cfg1,boot00,vn09,VN 9,0,336,66296,0.45327105161428655,0.07246193889577587,0.15017915842020904,0.4474635528110114,0.11847116784456194,5000,61.09488672695601,0.1078031691047084,0.21811886201967765,336
lyc0lh2d,cfg1,boot00,vn12,VN 12,0,336,66296,0.45919919383164504,0.07246193889577587,0.17665157240396692,0.4535311593957679,0.118468952272874,5000,59.93846637563777,0.12329047207379429,0.22973060956524774,336
lyc0lh2d,cfg1,boot00,vn15,VN 15,0,336,66296,0.4524266024063462,0.07246193889577587,0.1960111551046387,0.4468922186470761,0.11929365588811197,5000,59.83036162745724,0.1335023208769926,0.2424529248965172,336
lyc0lh2d,cfg1,boot00,pooled512,Pooled embedding,0,512,66296,0.17153769686433015,0.07246193889577587,0.4830071467657737,0.15593364978605306,0.15304736036907637,5000,82.59016212030967,0.21243566234140782,0.05623580740900351,512
