sweep_id,config,bootstrap,embedding,embedding_label,fold,n_per_half,pprop_edge,n_positive,positive_rate,knn_spearman,knn_pearson,knn_ap,knn_mae,ridge_spearman,ridge_pearson,ridge_ap,ridge_mae
lyc0lh2d,cfg0,boot00,vn15,VN 15,0,5000,3.5,51,0.0102,0.7201466733013278,0.7027170299693873,0.050630859064522055,0.4814856377124279,0.7899088375891025,0.7687435026923963,0.05598238765280517,0.4225025908039788
lyc0lh2d,cfg0,boot00,vn15@pca32,vn15@pca32,0,5000,3.5,51,0.0102,0.7020061428375564,0.6870630425545423,0.039890042365034045,0.4914148231293157,0.7153233097002445,0.6883851732188895,0.04073718507394085,0.486660663340975
lyc0lh2d,cfg0,boot00,pooled512,Pooled embedding,0,5000,3.5,51,0.0102,0.8457853461619458,0.8438727747570622,0.16948639647863933,0.34629971878508115,0.8545331248533117,0.8485330128459901,0.21074514406564437,0.3404292867379316
lyc0lh2d,cfg0,boot00,pooled512@pca32,pooled512@pca32,0,5000,3.5,51,0.0102,0.8403145486965492,0.8413333845158215,0.17202502450924573,0.34946248634606436,0.8538482216890662,0.8491298174235478,0.18354107926792088,0.3402535877116204
lyc0lh2d,cfg0,boot00,pooled+vn15,pooled+vn15,0,5000,3.5,51,0.0102,0.8141765582992235,0.8115773074093524,0.07447987564084504,0.3794889799040955,0.8569500794568741,0.851263922002463,0.2023443563379872,0.33761837038460285
lyc0lh2d,cfg0,boot00,pooled+vn15@pca32,pooled+vn15@pca32,0,5000,3.5,51,0.0102,0.816328574574365,0.8132469694104241,0.08181824327504235,0.3792597063636708,0.8276540537960047,0.82218371928452,0.1118720416269943,0.3720133839040406
lyc0lh2d,cfg0,boot00,pooled@scaled,pooled@scaled,0,5000,3.5,51,0.0102,0.8366261450289423,0.835304295870344,0.1234506815201436,0.35440851892988967,0.8592079723775289,0.8537821854500238,0.2206390484641045,0.3335753628129261
lyc0lh2d,cfg0,boot00,pooled@scaled@pca32,pooled@scaled@pca32,0,5000,3.5,51,0.0102,0.8357965901852673,0.8366792242052281,0.13235247884672377,0.3541824862755765,0.8380525321058183,0.8330282691644781,0.11857903287268998,0.3607194888770987
lyc0lh2d,cfg0,boot00,pooled+randproj,pooled+randproj,0,5000,3.5,51,0.0102,0.8437501459849693,0.8414222942999321,0.154399310612131,0.34884842432146623,0.8588422913307945,0.8533445080326234,0.21618870790011183,0.3340398541593864
lyc0lh2d,cfg0,boot00,pooled+randproj@pca32,pooled+randproj@pca32,0,5000,3.5,51,0.0102,0.8382722463754708,0.8401973425706393,0.16923802075698838,0.35167756183429477,0.8468500616494052,0.8422956621278023,0.17789113133487533,0.34798477677192907
lyc0lh2d,cfg0,boot00,z,z,0,5000,3.5,51,0.0102,0.8618410982730453,0.8586259891743271,0.22017868111503305,0.32777065549521134,0.8544116845296801,0.8467521670843725,0.16846224452179698,0.3407460680954947
lyc0lh2d,cfg0,boot00,z@pca32,z@pca32,0,5000,3.5,51,0.0102,0.8613528324114503,0.8587250503667494,0.22110694789163182,0.3275429139054089,0.869285368862583,0.8651433141400955,0.24389883003889462,0.3173458506402974
lyc0lh2d,cfg0,boot00,pred1,pred1,0,5000,3.5,51,0.0102,0.8206972035765898,0.8046552748502234,0.07779646936092535,0.38714343350407543,0.8686960538744257,0.8595961276399151,0.24476863524322445,0.3223113570782493
lyc0lh2d,cfg0,boot01,vn03,VN 3,0,5000,3.5,51,0.0102,0.6606335310348641,0.6452384450663321,0.03066687122184779,0.5204359897385062,0.741310360138554,0.7166614129679505,0.02923221537934502,0.4647721982335954
lyc0lh2d,cfg0,boot01,vn03@pca32,vn03@pca32,0,5000,3.5,51,0.0102,0.6382615497225701,0.6247767131570199,0.02990889557096167,0.5314384975299776,0.6563955076007865,0.627724769636324,0.0220127467089168,0.5286793464526516
lyc0lh2d,cfg0,boot01,vn06,VN 6,0,5000,3.5,51,0.0102,0.6945851502836295,0.6766777339679406,0.05081473656856963,0.5018599864921109,0.7571852672642447,0.7334203872652901,0.03683634622786023,0.4522492120168583
lyc0lh2d,cfg0,boot01,vn06@pca32,vn06@pca32,0,5000,3.5,51,0.0102,0.6706190545038502,0.6548333397068209,0.037395315502307395,0.5156827781179572,0.6886475123367923,0.6593680992892113,0.027977101368371237,0.5084901489042191
lyc0lh2d,cfg0,boot01,vn09,VN 9,0,5000,3.5,51,0.0102,0.7044021471166116,0.6859950502252359,0.03866103088640788,0.4957210049095322,0.7680778159179681,0.7450960851471395,0.03423206001791089,0.44319236158475134
lyc0lh2d,cfg0,boot01,vn09@pca32,vn09@pca32,0,5000,3.5,51,0.0102,0.6846181903950455,0.6672870130160877,0.036777237328555874,0.5063327796249708,0.7031338793345312,0.6733321684268918,0.027596223235679722,0.49799995238460615
lyc0lh2d,cfg0,boot01,vn12,VN 12,0,5000,3.5,51,0.0102,0.7124989741470629,0.6936123845067405,0.04728724050277779,0.4914393401528445,0.7775085550294611,0.7552581076573213,0.03389942010168921,0.43517351722270703
lyc0lh2d,cfg0,boot01,vn12@pca32,vn12@pca32,0,5000,3.5,51,0.0102,0.6903151390452682,0.6738983639183376,0.04586771835163811,0.5028756043121003,0.7152296670385505,0.6858641884317085,0.027404155164790292,0.488887686445844
lyc0lh2d,cfg0,boot01,vn15,VN 15,0,5000,3.5,51,0.0102,0.7193366935566998,0.7001073601183435,0.04524407685679398,0.48675265791324307,0.7842943020426006,0.7629446762735538,0.035655427937583924,0.4275871784308073
lyc0lh2d,cfg0,boot01,vn15@pca32,vn15@pca32,0,5000,3.5,51,0.0102,0.6988471380552804,0.682119397017918,0.04051329786617139,0.49744460413732816,0.7252993991643888,0.696482440052561,0.026756808010812733,0.48062837532501057
lyc0lh2d,cfg0,boot01,pooled512,Pooled embedding,0,5000,3.5,51,0.0102,0.8464601279787645,0.8425835046334627,0.1335466754968313,0.3476401453099898,0.8524585996888008,0.8449164905319904,0.13272744231968608,0.3461827673414424
lyc0lh2d,cfg0,boot01,pooled512@pca32,pooled512@pca32,0,5000,3.5,51,0.0102,0.841686457684321,0.8401435722207349,0.10689608745435247,0.3504816190420035,0.84838650352002,0.8432382863447742,0.11630983511285761,0.3465220369787963
lyc0lh2d,cfg0,boot01,pooled+vn15,pooled+vn15,0,5000,3.5,51,0.0102,0.8184191283172242,0.8129382542018813,0.06264398582860609,0.3779341992682052,0.8546956311817974,0.8481804225699048,0.15362640294805893,0.34062549707602346
lyc0lh2d,cfg0,boot01,pooled+vn15@pca32,pooled+vn15@pca32,0,5000,3.5,51,0.0102,0.8184214648838312,0.8134042494179494,0.07409245822476687,0.3783988096086622,0.8285601369519011,0.819664014902187,0.057113027237828365,0.37309912404498513
